日期,代码,指数名称,eps预期上调,eps预期上调_季线,eps预期上调_年线,pb偏度,pb偏度_季线,pb偏度_年线,pb峰度,pb峰度_季线,pb峰度_年线,上涨下跌ATR差,上涨下跌ATR差_季线,上涨下跌ATR差_年线,上涨下跌量差,上涨下跌量差_季线,上涨下跌量差_年线,下行协偏度,下行协偏度_季线,下行协偏度_年线,主线一致程度,主线一致程度_季线,主线一致程度_年线,历史估值,历史估值_季线,历史估值_年线,季价格扩散系数,季价格扩散系数_季线,季价格扩散系数_年线,季换手扩散系数,季换手扩散系数_季线,季换手扩散系数_年线,小市值换手因子,小市值换手因子_季线,小市值换手因子_年线,年价格扩散系数,年价格扩散系数_季线,年价格扩散系数_年线,年换手扩散系数,年换手扩散系数_季线,年换手扩散系数_年线,情绪熵,情绪熵_季线,情绪熵_年线,技术得分,指数筹码盈利,指数筹码盈利_季线,指数筹码盈利_年线,收盘价,放量因子,放量因子_季线,放量因子_年线,月价格扩散系数,月价格扩散系数_季线,月价格扩散系数_年线,月换手扩散系数,月换手扩散系数_季线,月换手扩散系数_年线,机构主动净买入,机构主动净买入_季线,机构主动净买入_年线,真实波动率,真实波动率_季线,真实波动率_年线,筹码乖离率,筹码乖离率_季线,筹码乖离率_年线,筹码分散程度,筹码分散程度_季线,筹码分散程度_年线,筹码峰支撑,筹码峰支撑_季线,筹码峰支撑_年线,筹码盈利中枢,筹码盈利中枢_季线,筹码盈利中枢_年线,融资余额因子,融资余额因子_季线,融资余额因子_年线,融资成交占比,融资成交占比_季线,融资成交占比_年线,资金分歧度因子,资金分歧度因子_季线,资金分歧度因子_年线,资金流因子,资金流因子_季线,资金流因子_年线,远期估值,远期估值_季线,远期估值_年线,阻力筹码中枢,阻力筹码中枢_季线,阻力筹码中枢_年线,预期差,预期差_季线,预期差_年线
2026/6/23,000985.CSI,中证全指,-0.764459598,-0.2848611,0.606589039,0.959854841,1.389361303,1.429493976,1.208991801,1.890905958,1.535174831,1.80454802,0.971937147,0.860350579,1.100496654,1.112848652,1.677118782,-0.319620221,0.181763923,-0.250351442,1.265239889,1.355572075,0.275407795,-0.87604321,-1.528151488,-0.276855996,-0.672377458,-0.11276125,-1.211388281,1.03443303,1.139764259,0.551581055,-1.342880541,-0.71398889,-1.058614867,-1.190471348,-1.825319348,-2.593803907,-0.304734738,0.24736475,-0.113294259,0.306359527,0.346182671,0.511957905,2.988124095,0.925395764,0.65117818,0.570357881,6483.5661,-0.670536258,-1.009127016,-0.066740906,0.444294908,-0.626633118,-1.398226764,0.83904736,0.071052196,-0.210594742,-0.996820793,0.272705414,-0.867968698,0.720355326,0.325200515,1.371715601,0.779010282,1.698418721,0.365222466,1.525060842,1.020897832,1.625946249,-0.561470743,0.396827882,1.619637695,-0.702471786,-1.272951519,-1.930934992,0.86375911,1.082009078,1.297469961,-0.033262007,0.062422541,-0.42945257,1.285640563,0.849986248,-0.261213408,-1.215006094,0.218272425,-0.598402136,-0.556470569,0.232403413,1.18639997,0.026700408,-0.603383195,-1.077386813,-0.660926092,-0.98852213,-2.58350104
2026/6/22,000985.CSI,中证全指,-0.779487497,-0.317692915,0.608196345,0.970070565,1.41672701,1.404604653,1.212748622,1.907131668,1.504748575,1.668751167,0.811748821,0.678644795,1.263626357,1.190320718,1.525499192,-0.207513858,0.222877859,-0.215691012,1.083161662,0.937078564,0.082060243,-0.983728413,-1.616876248,-0.286110985,-0.599286402,-0.027939607,-1.21684873,1.052608466,1.13237388,0.52715633,-1.577112247,-0.679593004,-1.040373533,-1.226467393,-1.878993915,-2.611601516,-0.366010627,0.25359913,-0.094443186,0.294863898,0.377440414,0.511635726,2.795665014,0.850578125,0.617681322,0.292074088,6624.0099,-0.925035556,-1.013461652,-0.062158829,0.123750076,-0.695325417,-1.494601302,0.737247839,0.00735453,-0.26962295,-1.191601468,0.235057295,-0.817908853,0.928826262,0.415269142,1.363765754,0.665010714,1.681773406,0.269060781,1.679972263,1.000711505,1.527922592,-0.153258174,0.602331924,1.887954779,-0.935300575,-1.318107176,-1.964744263,1.267948959,1.244577481,1.185191077,0.190814494,0.3641337,-0.298416918,1.066292179,0.795877457,-0.347446499,-1.484274232,0.2571597,-0.519505378,-0.642922869,0.247012472,1.165003412,-0.021597388,-0.552702886,-1.147917012,-0.585487105,-1.00814025,-2.622927963
2026/6/18,000985.CSI,中证全指,-0.647723799,-0.340644691,0.630499966,0.68261536,1.030203808,1.381566702,0.891229405,1.487700055,1.474502277,1.332674126,0.608765929,0.556616546,1.674816984,1.48081819,1.458275052,0.385479111,0.645811379,-0.146344644,1.20988724,0.834790311,-0.008823478,-1.037465023,-1.653094079,-0.237085652,-0.72403731,-0.06657132,-1.207214492,0.81165557,0.998649733,0.421258437,-1.678092291,-0.5275667,-1.013164878,-1.26360432,-1.939198887,-2.589409642,-0.639552826,0.164083998,-0.123263475,-0.061618243,0.123065058,0.41352997,1.903245379,0.279310915,0.155517187,-0.03517019,6499.3346,-1.014810069,-0.992941347,-0.045650768,-0.20868446,-0.797322761,-1.567632827,0.282186734,-0.246233326,-0.470972401,-1.236944656,0.24244826,-0.769238749,1.278155037,0.604461397,1.346488586,0.061397619,1.603864143,0.157705882,1.825941133,0.940099422,1.419827783,0.199508792,0.813596183,2.01705429,-0.689642292,-1.168677023,-1.936296876,1.683297651,1.314031012,1.051618619,-0.597236588,-0.070219469,-0.380828499,0.793670702,0.745231439,-0.405379702,-1.532081258,0.399013701,-0.425788143,-0.652777347,0.301192099,1.187528199,-0.309504752,-0.717046649,-1.202242566,-0.432696766,-1.014073068,-2.621391742
2026/6/17,000985.CSI,中证全指,-0.441477003,-0.356598975,0.637489881,0.308942467,0.539723298,1.346930779,0.499652067,0.990520083,1.438252686,1.115554921,0.519709043,0.455103268,1.412648398,1.302846065,1.356294048,0.66269639,0.818059707,-0.109931501,0.844496701,0.403589734,-0.212750882,-1.106783733,-1.69939882,-0.190388067,-0.873277616,-0.110150355,-1.203495826,0.488340994,0.85507997,0.372379191,-1.679421385,-0.315274812,-0.989914951,-1.340419202,-2.028720129,-2.56980721,-0.803521155,0.126589219,-0.123675039,-0.261636969,-0.00167576,0.366971405,1.560376933,-0.308965051,-0.265765364,-0.262368498,6477.0704,-0.948768481,-0.926213246,-0.026561119,-0.454407141,-0.871927378,-1.619078839,0.044789026,-0.366829715,-0.555866133,-0.932703586,0.383681366,-0.702590284,1.555915926,0.703338593,1.271878805,-0.48688393,1.283198944,0.083789829,2.001920734,0.869159904,1.306609686,0.549037389,1.033642129,2.168317759,-0.434413051,-1.059582043,-1.946710614,1.766157858,1.02309629,0.792342825,-1.203431591,-0.331803435,-0.431800657,0.2944687,0.664044705,-0.468764534,-1.379867229,0.585233853,-0.335637825,-0.68256629,0.344207823,1.198153107,-0.593743847,-0.855921661,-1.255273266,-0.254148682,-1.013958676,-2.633179341
2026/6/16,000985.CSI,中证全指,-0.245483886,-0.374380559,0.640934658,-0.020714419,0.099838546,1.304497413,0.145248461,0.535294252,1.39462258,0.808545302,0.402535992,0.375339736,0.920630503,0.945382467,1.218040465,0.890864024,0.961284272,-0.087179004,0.047066689,-0.237678157,-0.422524767,-1.191415512,-1.756941144,-0.150682253,-0.972538007,-0.10813032,-1.199922898,0.218034009,0.748627774,0.359036765,-1.69627622,-0.13059995,-0.967455953,-1.410999046,-2.104901718,-2.540410901,-0.750884219,0.198014104,-0.09868326,-0.291369422,0.015178564,0.329157468,1.302867685,-0.878736659,-0.639649525,-0.364966004,6421.2401,-0.973913957,-0.890285442,0.001673145,-0.684691789,-0.946636943,-1.670949716,-0.087371748,-0.429156329,-0.577992974,-0.48138799,0.529879247,-0.676327861,1.802662589,0.734798534,1.164514534,-0.902656571,0.856134995,0.053556713,2.110300393,0.735387969,1.185408259,0.845058475,1.220496711,2.280408029,-0.301472559,-0.977727874,-1.951086417,1.490141868,0.592141568,0.537609519,-1.574990486,-0.433855163,-0.447958839,0.030901181,0.649539463,-0.451019642,-1.02230218,0.796741129,-0.271757225,-0.711359035,0.387400085,1.197467287,-0.804010403,-0.927430723,-1.278580722,-0.10237794,-1.019256737,-2.621549663
2026/6/15,000985.CSI,中证全指,-0.006888667,-0.384423933,0.643091301,-0.281564712,-0.259144393,1.256930542,-0.138154351,0.165260397,1.347671201,0.218736769,0.148958259,0.268520244,0.358351464,0.594133727,1.079741453,1.086608218,1.082390204,-0.074434756,0.035528114,-0.211568116,-0.46354843,-1.29661378,-1.823457366,-0.11493728,-1.084851737,-0.122062243,-1.204357921,-0.256190125,0.562390565,0.334273389,-1.667547786,0.057979352,-0.938226009,-1.492487932,-2.179780923,-2.506595197,-0.88575136,0.190485132,-0.087222184,-0.61001398,-0.194811201,0.297366486,0.605660849,-1.323436635,-0.880734569,-0.35270432,6380.1618,-0.817743439,-0.833734357,0.057090092,-0.880691141,-1.012298822,-1.71279832,-0.330367463,-0.562571875,-0.6248318,-0.209380102,0.560451482,-0.690835152,2.101708265,0.773213842,1.035503008,-1.338587659,0.461659795,0.062929561,2.16197558,0.549340234,1.029586504,1.043324927,1.319236935,2.343657585,-0.420796168,-1.041419299,-1.992822882,1.259519814,0.248769366,0.310282106,-1.645098821,-0.36592257,-0.428219491,-0.456306598,0.603998644,-0.441125398,-0.642752174,0.976669626,-0.232497651,-0.76985813,0.413399119,1.196493739,-1.030411468,-1.018482563,-1.294700149,-0.046632432,-1.04356153,-2.608868532
2026/6/12,000985.CSI,中证全指,0.206624356,-0.408466264,0.64482822,-0.60133776,-0.664044474,1.218673429,-0.507366391,-0.296196442,1.308315372,-0.198554685,-0.010268459,0.252471631,-0.359322453,0.163564983,0.933143143,1.280088194,1.177787652,-0.063654,-0.033407684,-0.19945927,-0.539462083,-1.522109854,-1.997397067,-0.073967071,-1.311852812,-0.210294442,-1.20280248,-0.349759382,0.557990017,0.322022664,-1.541497954,0.239926578,-0.915792241,-1.5985026,-2.281909711,-2.450983943,-0.749813415,0.299091249,-0.072107664,-0.71632167,-0.243962246,0.284808655,-0.180986291,-1.954149543,-1.2206681,-0.265193004,6196.2583,-0.85290203,-0.830468538,0.113801852,-1.070197776,-1.09105867,-1.736404218,-0.544965508,-0.612140631,-0.659377534,0.339298845,0.729869746,-0.694981945,2.27036576,0.663887759,0.865712412,-1.695617067,-0.078148538,0.093683182,2.013037618,0.323770595,0.875056438,1.274067929,1.454986564,2.358136388,-0.505971398,-1.07222399,-1.988110563,0.818033832,-0.115884817,0.152140611,-1.633898858,-0.248952219,-0.365814178,-0.834220599,0.558464757,-0.364242896,-0.013133296,1.220432961,-0.200195372,-0.978242953,0.360453541,1.196915634,-1.348419167,-1.19366298,-1.273068126,-0.104315026,-1.089218714,-2.593408972
2026/6/11,000985.CSI,中证全指,0.363230975,-0.401851935,0.663871549,-0.593386909,-0.65051878,1.20722252,-0.532821472,-0.318087324,1.296943164,-0.316522953,-0.007354902,0.286002847,-1.11447796,-0.251324968,0.769127516,1.333691819,1.094508162,-0.088596759,-0.340647013,-0.289115829,-0.432483339,-1.564306115,-1.951363122,-0.045306459,-1.212685894,-0.107116698,-1.203664024,-0.588750073,0.492046318,0.333228282,-1.276543646,0.400392674,-0.905522773,-1.59682286,-2.274225811,-2.410278377,-0.900897662,0.284489199,-0.04801543,-0.94410955,-0.37335896,0.314972507,-0.5940279,-2.117246949,-1.107776779,-0.07450723,6140.7498,-0.931613775,-0.818218398,0.1864348,-1.147576388,-1.096603073,-1.734256041,-0.881240496,-0.78473893,-0.68085188,0.844104894,0.854302304,-0.7166447,2.302600661,0.448245184,0.633366967,-1.774382912,-0.537650864,0.161602321,1.743028783,0.122446308,0.728105423,1.327627793,1.395939035,2.334171632,-0.660501372,-1.151747424,-2.064600858,0.257286074,-0.444420266,0.0539342,-1.461692013,-0.052604652,-0.240623458,-1.126774219,0.549003747,-0.328267754,0.572240742,1.413654011,-0.213637809,-1.06412306,0.379523434,1.189539953,-1.430731518,-1.139914321,-1.254564412,0.053891677,-1.091650832,-2.60900964
2026/6/10,000985.CSI,中证全指,0.438502455,-0.428428788,0.69351149,-0.603799586,-0.665519319,1.251528849,-0.556374912,-0.353695438,1.335133754,-0.508776583,-0.064834252,0.184088282,-1.310469636,-0.304233384,0.78425735,1.469946461,1.068051786,-0.12889437,-0.454837027,-0.305999243,-0.375241848,-1.608922212,-1.899015909,0.053384715,-1.156445169,-0.041104319,-1.183772032,-0.554877097,0.550102948,0.38264347,-1.244938498,0.466825404,-0.897281902,-1.578118431,-2.258506577,-2.340380642,-0.863333878,0.365892791,-0.01293556,-1.13929284,-0.44562655,0.386462046,-0.723287052,-2.020565947,-0.830749614,0.118903753,6173.6278,-1.173280707,-0.850069609,0.247815101,-1.207313799,-1.092280802,-1.690996438,-0.976985909,-0.834750927,-0.65702508,1.261076267,0.92363068,-0.770233239,2.26160662,0.218646338,0.446065508,-1.576416825,-0.638380192,0.229251578,1.371162551,-0.074303119,0.596754034,1.394014136,1.359327314,2.154361602,-0.803430513,-1.286846474,-2.123252722,-0.317208137,-0.702729076,0.070239052,-1.409661258,0.061257211,-0.124169975,-1.41098182,0.554052972,-0.300466238,1.043262867,1.557071512,-0.254161155,-1.197268819,0.377807246,1.288419178,-1.508036216,-1.107266288,-1.168103995,0.086538899,-1.119498113,-2.703885148
2026/6/9,000985.CSI,中证全指,0.500820445,-0.45852275,0.712893884,-0.722258048,-0.815279007,1.292615612,-0.701097227,-0.549513975,1.370143388,-0.607463014,-0.055634906,0.106932026,-1.4073743,-0.290274172,0.837911358,1.586441973,0.984591015,-0.172821132,-0.313150238,-0.146664779,-0.246007631,-1.701412496,-1.87335692,0.130858933,-1.169815253,-0.047151294,-1.178900326,-0.434872497,0.649344718,0.460833712,-1.050969854,0.54878441,-0.885840402,-1.568026085,-2.229610314,-2.282903366,-0.816336287,0.443738145,0.027553983,-1.545503546,-0.636497079,0.481760307,-1.013396419,-1.886607899,-0.553987552,0.283321174,6254.7442,-1.358303642,-0.82359548,0.324584892,-1.289331409,-1.095066623,-1.649912067,-1.018858034,-0.822677122,-0.578755233,1.467238041,0.855983505,-0.853006382,2.102171977,0.001030464,0.287447429,-1.441316402,-0.714577174,0.288905697,0.970479187,-0.21796074,0.479766363,1.472014688,1.311059217,2.002205513,-0.922807392,-1.382366337,-2.179443267,-0.615288836,-0.822296685,0.102143017,-1.464751764,0.11734464,-0.030349024,-1.458346702,0.626435768,-0.240417077,1.192660117,1.603933138,-0.305304076,-1.409918643,0.344968416,1.345170042,-1.57567885,-1.074399962,-1.120406895,0.306531285,-1.111208994,-2.799277408
